have (had; had )|иметь; получать; быть должным  
heat|жара; нагревать(ся)
bow|1) поклон; кланяться; 2) лук (оружие); смычок; бант
list|список; вносить в список
movement|движение
complete|полный; законченный; заканчивать, завершать 
include|включать; заключать в себе
feed (fed; fed)|кормить(ся); питаться, есть; питание, еда, корм
blast|взрыв; взрывать 
explode|взрывать(ся)
bitch|сука; ругат. стерва 
weight|вес; тяжесть 
yours|твой, ваш 
address|адрес; адресовать; направлять 
church|церковь 
surround|окружать
pile|куча, груда; складывать, сваливать в кучу;  громоздить
worth|цена, стоимость; ценность; имеющий ценность 
attempt|попытка; покушение; пытаться 
nervous|нервный 
government|правительство 
dawn|рассвет 
trail|след; выслеживать
plant|1) растение; сажать (растения); 2) завод, фабрика 
final|финал; последний
passenger|пассажир
pool|бассейн 
town|город 
wash|мыть(ся); умываться
pace|шаг; шагать 
smash|столкновение; гибель; крах; разбить(ся) вдребезги
television|телевидение
panic|паника; панический; пугать; впадать в панику
self|сам; само- 
admit|впускать; принимать; признавать 
directly|прямо; немедленно
serve|служить; обслуживать; состоять на службе 
map|карта (геогр.) 
fat|жир; жирный; толстый
van|фургон; багажн. вагон
commander|командир
goddamn|проклятие; проклинать 
somehow|как-нибудь
post|почта; отправлять по почте 
frighten|пугать
continuous|непрерывный; длительный 
blind|штора; слепой; ослеплять 
jerk|резкое движение, толчок; резко толкать, дергать 
blink|мигать; мерцать 
boss|хозяин, босс  
nor|ни; также не  
operation|действие
glad|радостный, довольный
pistol|пистолет 
suggest|предлагать 
teach (taught; taught )|учить
although|хотя  
lucky|счастливый 
rule|правило; управлять
apart|в стороне; отдельно
bloody|кровавый 
flip|легкий удар, щелчок; слегка ударить, щелкнуть; смахнуть
flesh|тело, плоть 
witness|свидетель; очевидец; быть свидетелем, видеть
quarter|четвертая часть, четверть; район города, квартал
relax|расслаблять(ся)
clearly|ясно; очевидно
repeat|повторять
asleep|спящий 
helicopter|вертолет 
killer|убийца; ам. гангстер
member|член, участник
parent|родитель
odd|1) нечетный; лишний; странный; 2) odds разница; шансы
bomb|бомба; бомбить
release|освобождать; выпускать (на волю); выпустить/опубликовать
unless|если не 
punch|1) удар кулаком; наносить удар кулаком; 2) компостер
history|история 
busy|занятой 
bond|связь, узы; оковы 
copy|копия; копировать
accept|соглашаться (с)
destroy|разрушать
anymore|обычно в отриц. предл. в знач. больше не; редко в утверд. в знач. когда-нибудь еще
cab|такси 
experience|опыт; впечатление; испытывать; переживать
shove|толчок; толкать(ся)
bastard|незаконнорожденный ребенок; разг.-груб. ублюдок и т.п.
fool|дурак; (о)дурачить 
fold|складка, сгиб; складывать(ся); сгибать(ся) 
twelve|двенадцать
evidence|свидетельство; доказательство, улика 
bus|автобус 
brief|резюме; краткий; кратко излагать
tap|1) кран (водопр. и т.п.); 2) стук; легкий удар; постучать
drift|медленное течение; дрейф и др.; дрейфовать; бездействовать
prove|доказывать; подтверждать; оказываться
personal|личный 
rub|тереть(ся); натирать
interrupt|прерывать
brush|щетка; кисть; чистить (щеткой) 
rope|веревка; канат; трос
alarm|тревога; поднять тревогу 
aware|сознающий, знающий
east|восток; восточный
terrible|страшный
tip|1) кончик; наконечник; 2) слегка касаться; 3) давать "на чай" 
spring|1) весна; реже 2) прыжок; (sprang ; sprung [sprAN])
protect|защищать
involve|вовлекать
whip|кнут; хлестать
lunch|ленч, второй завтрак
reporter|репортер 
bell|звонок; колокол 
suspect|подозревать; полагать, предполагать
evil|зло; порок; злой
booth|будка; киоск; палатка
tone|тон (голоса и т.п.)
chamber|комната; палата (торг., мед.); кабинет; камера 
shower|ливень; душ; обилие; литься; заваливать 
examine|рассматривать; исследовать; экзаменовать 
sweet|сладкий; милый 
choice|выбор 
palm|1) пальма; 2) ладонь
assume|допускать
obviously|очевидно
traffic|движение (уличное, ж/д); транспорт 
hook|крюк; цеплять крючком; застегивать на крючок 
wrist|запястье; манжета
cabin|кабина; каюта
enemy|враг, неприятель
smoke|дым; дымить(ся)
silver|серебро; серебрянный
pipe|труба; трубопровод; трубка (курительная) и др.
normal|нормальный
chase|погоня; гнаться (за)
secretary|секретарь 
discover|узнавать; обнаруживать; открывать
wine|вино 
gasp|задыхаться
fail|потерпеть неудачу; не суметь; провалить(ся) на экзаменах
dive|ныряние (в воду); внезапное движение, рывок; нырять
breathe|дышать
moon|луна
dissolve|растворять(ся)
sex|пол, секс; половой, сексуальный
ace|очко; карт. туз; ас; главный козырь; лучший; высшая оценка 
newspaper|газета
twice|дважды; вдвое
choose (chose ; chosen|['Couzn]) выбирать; избирать; предпочитать 
float|плавать (на поверхности); парить, плыть 
uncle|дядя 
aim|цель; целиться 
public|публика; общественный; публичный; народный 
section|секция; отдел 
dangerous|опасный 
shine|блеск, свет; (shone; shone ) сиять; блестеть
gentleman|джентльмен; господин; (мн. ч. gentlemen) 
song|песня 
effect|результат 
nearby|близлежащий, соседний;поблизости, рядом 
flower|цветок
faint|слабый; ослабевать
pat|похлопывание, шлёпанье; похлопывать; разг. кстати 
confuse|смущать
visit|посещение; посещать
film|пленка; фильм 
future|будущее 
queen|королева 
stomach|желудок
demand|требование; нужда; требовать; нуждаться 
department|отдел
boot|ботинок; сапог 
trap|капкан; западня; ловушка; поймать в ловушку 
mess|беспорядок; путаница; производить беспорядок 
battle|битва, сражение, бой
photograph|фото, снимок; фотографировать, снимать
impossible|невозможный
mad|сумасшедший 
guest|гость
joke|шутка; шутить
taste|вкус; склонность; (по)пробовать (на вкус) 
forth|вперед; впредь
fist|кулак 
squeeze|сжимать; втискивать(ся), протискиваться 
especially|особенно 
stun|оглушать, ошеломлять
wooden|деревянный 
leather|кожа (выделанная)
slap|хлопать, шлепать
purpose|цель, намерение
band|1) лента, полоска; 2) группа (людей); банда; оркестр
tough|жесткий; стойкий 
vehicle|любое средство передвижения (автомобиль и т.п.)
focus|фокус; перен. центр; фокусировать; сосредотачивать
usually|обычно 
video|видео
luck|удача, счастье 
iron|железо; железный
effort|усилие, попытка
duty|долг; пошлина 
chick|цыпленок; птенец; chicken цыпленок; курятина (еда)
waste|бесполезная трата; потери; тратить зря
fresh|свежий; новый; чистый
glare|ослепительный свет; свирепый взгляд; ослепительно светить; свирепо смотреть
swear (swore ; sworn|[swLn]) клясться; присягать; ругать(ся) 
beauty|красота; красавица
tongue|язык 
fun|веселье, забава, шутка
cable|канат; трос; кабель
backward|обратный; отсталый;(тж. ~s) назад; наоборот
honour|бр. = honor ам. (1:13) честь, слава; почет; почитать
cash|наличные деньги
alien|чужестранец, иностранец; чужестранный; чуждый 
detail|подробность, деталь
lab|лаборатория, разг. сокр. от laboratory  
director|директор
hardly|едва; едва ли 
clerk|клерк, служащий
fence|забор, изгородь; огораживать
crime|преступление 
strip|полоска, лента; сдирать; раздевать(ся); снимать 
familiar|знакомый 
local|местный 
price|цена 
signal|сигнал; знак; сигнализировать 
giant|великан, гигант, титан; громадный, гигантский 
chain|цепь; цепочка; узы; последовательность; сковывать
smart|толковый; умный
various|различный
pants|брюки; трусы 
opposite|противоположность; противоположный; prep,против, напротив
breathing|дыхание 
object|1) предмет; вещь; цель; 2) возражать 
grass|трава 
apparently|очевидно
lobby|прихожая, кулуары
dial|циферблат; диск телефона; набирать номер, звонить 
naked|обнаженный
intend|намереваться
honey|мед; разг. милая, милый, дорогой, душечка 
support|поддержка; поддерживать; помогать
blond(e)|блондин; (-e) блондинка; белокурый 
print|отпечаток; след; шрифт; печатать; публиковать 
suck|сосать; всасывать 
garage|гараж 
pattern|образец; модель
clutch|когти; лапы; хватка; схватить(ся); зажать, стиснуть
faith|вера, доверие 
sand|песок 
tail|хвост и др. 
student|студент
swim (swam ; swum|[swAm]) плыть, плавать
dirty|грязный 
forehead|лоб 
strength|сила; прочность
anger|гнев 
laughter|смех, хохот
distant|отдаленный 
subject|предмет (учебный); тема, предмет (разговора)
remind|напоминать
garden|сад 
forest|лес 
camp|лагерь 
snake|змея 
echo|эхо; отражение; отражаться; вторить
partner|партнер
military|военный
client|клиент 
everywhere|везде, (по)всюду
skull|череп; устн. голова
exchange|обмен; менять(ся)
program|= programme (8:1) программа; план; планировать
usual|обыкновенный
restaurant|ресторан 
equipment|снаряжение; оборудование
hug|крепкое объятие; крепко обнимать 
difficult|трудный 
till|до; в отриц. предл. не раньше; (до тех пор) пока 
buck|доллар и др.
react|реагировать
rich|богатый; плодородный
swallow|1) ласточка; 2) глоток; глотать
curtain|занавеска; занавес; занавешивать
bury|хоронить; зарывать
stream|поток; течение; ручей; течь, вытекать, струиться 
president|президент
wanna|разг. = want to – хотеть (чего-либо)
soul|душа; дух; сущность
duck|1) утка; 2) быстро наклоняться; увертываться; нырять
bolt|засов, задвижка; шпингалет; болт; запирать на засов и др.
golden|золотой 
pressure|давление; нажим
indicate|указывать 
bay|залив, бухта
startle|испугать; поразить, удивить
avoid|избегать; уклоняться (от)
breast|грудь
condition|условие; состояние; обусловливать, определять
sip|глоток; немного; пить мал. глотками; пробовать
code|кодекс; код; кодировать
account|счет; отчет; причина; считать, признавать
tremble|дрожать
data|данные, факты 
mutter|бормотать
anywhere|где-нибудь (в вопр.); нигде (в отриц.); где угодно (в утверд.)
library|библиотека 
welcome|париветствие; приветствовать 
prison|тюрьма 
kneel (knelt|, kneeled [nJld]; knelt, kneeled) становиться на колени 
lake|озеро
instant|мгновение; немедленный; растворимый 
airport|аэропорт 
cast (cast; cast)|бросать, кидать; лить, отливать (металл)
indeed|в самом деле
claim|требование; утверждение; требовать; заявлять
target|цель, мишень 
pin|булавка; шпилька; брошка; скалывать, скреплять; прикалывать
respect|уважение; отношение; уважать
art|искусство 
easily|легко, без труда
attorney|адвокат; юрист
fair|прекрасный; чистый; белокурый; честный, справедливый
muscle|мышца, мускл
horror|ужас 
bare|голый, обнаженный 
beast|зверь; животное
pleasure|удовольствие
puzzle|вопрос, ставящий в тупик; загадка; озадачивать, смущать
grave|1) могила; 2) серьезный, важный 
trace|след; прослеживать
excite|возбуждать, волновать
length|длина 
mount|холм, гора
risk|риск; рисковать
ocean|океан 
energy|энергия,
amaze|изумлять, поражать
envelope|обертывать, окутывать; n оболочка
contain|  вмещать 
audience|публика; зрители
stumble|спотыкаться; запинаться 
leader|руководитель; лидер
difference|разница 
barrel|бочка; баррель= 159 л.
wonderful|удивительный, замечательный 
demon|= daemon (2,3:1) демон, сатана, дьявол; дух 
besides|кроме;кроме
dirt|грязь
accident|случай; авария
steady|твердый, устойчивый; делать(ся) устойчивым 
interior|внутренность; внутренний 
mission|миссия, делегация; призвание; поручение 
victim|жертва
absolutely|абсолютно; совершенно
patient|пациент, больной; терпеливый 
occur|случаться, происходить; встречаться; приходить на ум 
alright|= all right удовлетворительный;ладно!, согласен!
receive|получать
split (split; split)|раскалывать(ся); расщеплять(ся); трещина, щель
practice|тренировка; (practise бр. = practice ам.) упражнять(ся)
upstairs|вверх (по лестнице), наверх; наверху 
panel|щит (управления); панель; список, перечень
ease|покой; успокаивать
advance|продвижение; успех; прогресс; делать успехи
couch|диван, кушетка 
correct|правильный; исправлять
firm|фирма; твердый, крепкий; стойкий; решительный 
smooth|гладкий, ровный; сглаживать 
powerful|мощный 
slight|легкий, слабый 
scan|сканировать; бегло просматривать; внимательно смотреть
credit|вера, доверие
unit|единица; целое; единица (измерен.); секция; блок; воен.: часть
glove|перчатка; надевать перчатку 
claw|коготь; клешня; груб. рука, лапа; царапать; вцепиться 
gear|механизм; передача (скорость); приспособления 
engineer|инженер; создавать, проектировать
awake (awoke ;| awoke, awoken [q'woukn]) будить; просыпаться
ought|(долженствование) следует, следовало бы, должен 
stack|стог; куча, груда; множество; складывать в кучу 
flow|течение, поток (тж. перен.); течь, литься; струиться 
whom|кого; которого
belong|принадлежать 
ancient|древний; античный
decision|решение 
direct|прямой; направлять; руководить, управлять 
cap|кепка, шапка; верхушка
highway|шоссе 
exist|существовать, жить
oil|нефть; смазывать
monster|чудовище
missing|отсутствующий
temple|1) храм; 2) висок
spit (spat; spat ;|уст. также spit; spit) плевать(ся); брызгать слюной; моросить, накрапывать (о дожде) 
ma|мама (сокр. от mamma)
chin|подбородок 
priest|священник 
extend|протягивать; простирать(ся); распространять
sake for the|~ of, for smb.'s ~ для/ради кого-либо 
magazine|журнал
mass|масса, множество
ticket|билет; ярлык 
weather|погода 
damage|вред, повреждение; ущерб; повреждать, портить 
spill|(бр. spilt, spilt , ам. spilled, spilled [spIld]) проливать(ся); рассыпать(ся); разг. сбросить, вывалить; проболтаться
refuse|отказывать(ся)
vision|зрение; зрелище 
event|событие; случай 
flashlight|карманный фонарь
manager|менеджер
presence|присутствие
drawer|ящик (стола, комода)
thumb|большой палец (руки); выступ; захватывать; уминать
favour|бр. = favor ам. (1:12) благосклонность; благоволить 
march|1) March март; 2) марш, переход; маршировать
create|творить, создавать
jam|1) затор, давка; набивать(ся) битком; 2) варенье, джем 
danger|опасность 
respond|отвечать; отзываться, реагировать 
summer|лето 
assistant|ассистент 
massive|массивный
century|век, столетие 
shatter|разбить(ся) вдребезги; расстраивать (здоровье)
female|женский; женщина
strain|натяжение; напряжение; натягивать(ся); напрягать(ся)
justice|правосудие 
project|1) проект, план; 2) проектировать 
emergency|крайняя необходимость; критическое положение
customer|покупатель; клиент
pad|подушка; блокнот 
collapse|обвал; крах; рушиться; терпеть неудачу/крах 
arrest|арест; арестовывать
trick|хитрость, обман; фокус, трюк; обманывать 
series|  ряд; серия 
electric(al)|электрический
bug|жук, насекомое; потайной микрофон; вести тайн наблюд.
lap|1) колени; 2) жадно пить, лакать
rail|ограда; перила; поручень; рельс; разг. ж/д дорога
sixty|шестьдесят 
porch|крыльцо; веранда
screw|винт и др.; завинчивать; вращать; выжимать и др. 
cliff|(отвесная) скала, утес
pump|насос; накачивать, качать; выталкивать 
design|замысел; проект, план; задумывать; проектировать 
response|ответ; отклик
fellow|парень, приятель
supply|снабжение; запас; снабжать; поставлять 
mill|мельница; фабрика
alley|узкая улица; аллея 
style|стиль; менера; мода
tube|труба; тюбик; метро (в Лондоне) 
bowl|1) миска; чашка; кубок; ваза; 2) шар (в играх); играть в шары
orange|апельсин; оранжевый
perfectly|совершенно, вполне; превосходно 
shotgun|пулемет 
necessary|необходимый 
pink|розовый 
obvious|очевидный, явный
village|поселок; деревня 
policeman|полицейский; (мн. ч. policemen) 
closet|амер. чулан; стенной шкаф 
result|результат, следствие; происходить в результате 
regard|внимание; ~s привет; смотреть (на); считать; касаться
possibly|возможно
hiss|шипение; свист; шипеть; свистеть 
sidewalk|тротуар 
stride (strode ; stridden|['strIdn]) шагать (большими шагами); большой шаг
breakfast|завтрак 
trunk|ствол; туловище; дорожный сундук; плавки ~s 
stranger|чужестранец, нездешний; незнакомец, посторонний
dude|парень; тип; пижон
employ|давать работу, нанимать; применять; employee рабочий, служащий; employer [Im'plOIq] работодатель, предприниматель
branch|ветка; рукав; отрасль; филиал, отделение 
enormous|громадный
site|  место, участок
lamp|лампа 
butt|1) торец; рукоятка (пистолета, меча); ударять головой, бодать
cage|клетка; жарг. тюрьма
college|колледж
terrify|ужасать, внушать страх; запугивать
ruin|гибель; крушение; ~s развалины, руины; разрушать, губить
totally|вполне, совершенно, полностью
wander|бродить, скитаться
bore|1) скука; зануда (человек); надоедать; 2) сверлить
manner|способ; манера
yesterday|вчера 
produce|производить
hood|капюшон; чехол; капот
cost (cost; cost)|стоить; цена, стоимость 
nail|гвоздь; забивать гвозди; прибивать гвоздями
discuss|обсуждать
shell|раковина; оболочка
whistle|свист; свистеть
dock|1) док; вводить в док; 2) скамья подсудимых 
feature|особенность; ~s черты лица; быть характ. чертой 
dining|в составный словах dining-table обеденный стол и т.п. 
buzz|жужжание; гул (голосов); жужжать; гудеть 
heaven|~(s) небо, небеса; как междометие: (о) боже!; черт возьми!
upset (upset; upset)|расстраивать, огорчать; расстроенный 
steam|пар; запотевать
bunch|связка; пучок; букет; гроздь; собирать, связывать
basement|основание; подвал; (полу)подвальный этаж
junior|младший 
scar|шрам, рубец; оставлять шрамы; перен. оставл. глубок. следы
bleed (bled; bled)|кровоточить
nature|природа; натура
curve|кривая (линия); изгиб, поворот; изгибать(ся)
official|чиновник; служебный; официальный 
taxi|такси
court|1) суд; 2) двор; площ. для игр; корт
greet|приветствовать; здороваться 
silently|молча; тихо
rough|грубый; неровный; резкий, суровый (о природе);грубо 
explosion|взрыв
piss|моча; мочиться
replace|ставить/класть обратно; заменять, замещать
drunk|пьяный, опьяненный
process|процесс; течение; ход развития; подвергать обработке
curse|проклятие; ругательство; проклинать; ругаться
jungle|джунгли 
seal|1) печать; запечатывать; скреплять печатью; 2) тюлень
dump|свалка; сваливать (в кучу); выбрасывать 
particular|частность; особый; частный; отдельный
sport|спорт 
reaction|реакция
cook|повар; кухарка; готовить, варить
stir|шевелить(ся), двигать(ся); мешать, размешивать; волновать
intelligence|ум
embarrass|смущать(ся)
seek (sought; sought )|искать, разыскивать; стремиться (к) 
pen|ручка; перо 
survive|пережить; выжить
central|центральный; главный
staff|штат (служащих); штаб (воен.)
crouch|присесть; пригнуться; низко кланяться 
rabbit|кролик 
creep (crept; crept)|ползать
castle|замок, дворец 
observe|наблюдать
arrange|располагать
scratch|царапина; скрип; царапать(ся); скрести(сь); чесать(ся)
bat|1) летучая мышь; 2) бита
range|ряд, линия; диапазон
murmur|журчание; бормотание; шептать, бормотать
towel|полотенце 
cough|кашель; кашлять
hire|наем; прокат; нанимать; снимать; брать на прокат
swell (swelled|; swollen swouln]) раздуваться, набухать; опухать
medical|медицинский
male|мужской; мужчина
heel|пятка; каблук; пристукивать каблуками; следовать по пятам
separate|отделять(ся); разделять(ся); отдельный
cheer|одобрит. или приветств. восклицание; ура; приветствовать
aircraft|самолет, самолеты; авиация (мн. ч. без измен.) 
convince|убеждать; уверять
forever|навсегда, навеки
pitch|бросок; подача и др; бросать, кидать и др.
upper|верхний; высший 
treat|удовольствие; обращаться (с); относиться (к); лечить; угощать
instantly|немедленно
knowledge|знание, знания
rat|крыса 
cave|пещера; полость; выдалбливать 
degree|степень; градус
dodge|обман, уловка, хитрость; увертываться; увиливать
connect|соединять(ся)
prisoner|заключенный
scramble|карабкаться; взбираться, пробираться 
visible|видимый; явный 
pretend|притворяться
plain|равнина; очевидный
vanish|исчезать
shelf|полка, (мн. ч. shelves)
player|игрок; актер 
universe|мир, вселенная
script|сценарий 
flicker|мерцание; мерцать
weird|таинственный
balance|весы; равновесие; взвешивать; балансировать
language|язык; речь
blank|пустой, незаполненный; пустое, свободное место; пробел
issue|издание, выпуск; издавать, выпускать 
weak|слабый 
surely|конечно; несомненно, наверняка 
entirely|полностью, совершенно 
shield|щит; перен. защита; прикрывать, защищать 
marine|мор. флот; солдат мор. пех.; морской 
overhead|наверху, над головой
solid|твердый; прочный
sail|парус; плавание (на кораб.); плыть (на кораб.); парить (в возд.)
stagger|шататься
elbow|локоть; (резкий) изгиб (реки, дороги); подлокотник 
pit|яма, впадина; шахта; котлован; окоп; рыть, делать ямы 
needle|игла, иголка 
mister|мистер, господин
eleven|одиннадцать 
platform|платформа; перрон; помост; сцена 
mostly|главным образом
rapidly|быстро 
egg|яйцо 
dare|сметь, отваживаться
owner|владелец, хозяин
suffer|страдать
hammer|молоток; вбивать, прибивать; колотить
thunder|гром; греметь
corpse|труп 
stroke|1) удар; взмах; 2) гладить, поглаживать 
heavily|тяжело; сильно
clip|зажим, скрепка; зажимать; скреплять 
total|целое; сумма; общий
helmet|шлем; каска 
bench|скамейка 
source|источник; начало
scatter|разбрасывать
eventually|в конечном счете, в конце концов 
spray|1) ветка, побег; 2) брызги; распылитель; обрызгивать
trade|торговля; торговать
mix|смешивать(ся)
descend|спускаться, опускаться, понижаться;  переходить
sonny|разг. сынок 
boom|гул, рокот; бум, быстрый подъем; греметь; быстро расти
crush|раздавить; (с)мять; сокрушить, уничтожить 
relief|облегчение; помощь 
senator|сенатор
trigger|защелка; спусковой крючок, курок, механизм 
insist|настаивать 
deliver|доставлять, передавать; вручать 
conference|конференция; совещание 
terror|ужас, страх; террор
jar|1) резкий звук; дребезжание; дребезжать; 2) банка
argue|спорить; утверждать, доказывать 
require|требовать(ся)
worst|наихудший;хуже всего; наихудшее 
recall|вспоминать; отзывать
halt|остановка; останавливать(ся) 
badly|плохо, дурно; очень; сильно 
collect|собирать(ся); коллекционировать 
rage|ярость; злиться 
blanket|одеяло 
tray|поднос; лоток 
drip|капать; стекать
limit|граница, предел; ограничивать 
fan|1) веер; вентилятор; обмахивать; 2) болельшик, фанат 
attach|прикреплять
upward|направленный вверх;вверх, (тж. ~s) 
dim|тусклый; смутный, неясный; делать тусклым; затенять 
deputy|депутат; заместитель, помошник 
sad|печальный, грустный 
flick|щелчок; разг. кино, фильм; слегка щелкнуть; смахнуть 
carpet|ковер; устилать
expose|выставлять; подвергать; разоблачать 
sob|рыдание, всхлипывание; рыдать, всхлипывать
strap|ремень, полоска; завязка, бретелька; стягивать ремнями
natural|естественный
curious|любопытный
starling|1) скворец; 2)
stern|строгий, суровый 
comment|комментарий; комментировать 
bounce|подпрыгивать; отскакивать; вскакивать 
threaten|угрожать
lovely|прелестный 
waiter|официант 
moan|стон; стонать
exhaust|истощать, изнурять; исчерпывать
nervously|нервно 
likely|вероятный;вероятно
sailor|моряк, матрос 
concentrate|сосредотачивать(ся); концентрировать(ся)
character|характер; фигура, личность; образ, лицо 
defense|защита, оборона
term|срок, период; семестр; учебн. четверть; термин
random|случайный, произвольный, выбранный наугад
rose|роза 
slope|уклон; склон, откос; иметь наклон; клониться; наклонить
abruptly|внезапно; резко, грубо 
fashion|образ, манера; фасон; стиль; придавать вид, форму 
awful|ужасный 
glimpse|мелькание; мимолетное впечатление; мельком взглянуть
describe|описывать 
extra|дополнительный
purse|кошелек; дамская сумочка; деньги, богатство; морщить(ся)
fully|полностью
squad|группа, команда 
peace|мир; покой 
mail|почта; посылать по
briefly|кратко 
spirit|дух, душа; натура
nowhere|нигде; никуда
holy|святой; священный 
thrust (thrust; thrust)|толкать; тыкать; просовывать; толчок 
operate|работать, действовать; управлять
otherwise|иначе
current|струя; течение, ход; ток (электр.); текущий 
groan|стон; стонать
stain|пятно; позорящ. факт; пятнать; пачкать(ся); позорить
horn|рог; горн; рупор
rocky|скалистый
admiral|адмирал 
diamond|алмаз
cock|петух; заводила; взведенный курок; поднимать
waist|талия 
merely|только, просто
chuckle|хихикать
despite|1) несмотря на, вопреки; 2) злоба; уст. оскорблять
concrete|1) конкретный; 2) бетон 
chip|щепка; стружка; обломок; откалывать; строгать
common|общий; общепринятый; простой, обыкновенный 
magic|волшебный 
folk|, чаще folks люди, народ; родня, родные; друзья 
dart|дротик;  рывок, бросок; метать; помчаться стрелой
professional|профессионал; профессиональный 
fault|ошибка; вина 
avenue|аллея; проспект, авеню
devil|дьявол, черт 
tuck|засовывать, прятать
brand|сорт, качество 
tense|1) грам. время; 2) натянутый; натягивать(ся)
chew|жвачка; жевать;
bye, bye-bye|разг. от goodbye пока!, всего! 
emotion|волнение; чувство, эмоция 
ash|зола, пепел; прах 
suitcase|чемодан 
bound|1) граница, предел (чаще ~s); ограничивать; 2) прыжок; прыгать; 3) обязанный, вынужденный
wolf|волк, (мн.ч. wolves) 
trailer|прицеп 
cockpit|кубрик, кокпит (мор.); кабина (летч.) 
tea|чай 
unable|неспособный
national|национальный
determine|решать(ся); определять, устанавливать
hungry|голодный
quit|покидать, оставлять; прекращать (работу); увольнение
register|журнал (для записей); регистрировать(ся) 
announce|объявлять
worker|рабочий 
sunlight|солнечный свет
jail|тюрьма 
bride|невеста 
plenty|(из)обилие
grunt|хрюканье; ворчание; хрюкать; ворчать; бурчать 
proud|гордый 
adjust|приводить в порядок; улаживать; приспосабливать 
gift|подарок, дар 
satisfy|удовлетворять; доставлять удовольствие
grasp|хватка; понимание; схватывать; охватить, понять 
angel|ангел 
hristmas|Рождество
owe|задолжать; быть должным, обязанным 
guide|проводник, гид; советчик; путеводитель; вести; направлять
disturb|беспокоить, мешать;
reflect|отражать(ся)
united|соединенный
willing|готовый (сделать что-л.); охотно делающий 
title|заглавие, название
blame|вина; упрек; винить, порицать 
interview|беседа, интервью; интервьюировать 
gut|кишка; потрошить; опустошать, грабить 
howl|вой; выть 
mouse|мышь, (мн. ч. mice)
beg|просить, умолять 
vast|общирный, громадный
cheap|дешевый;дешево
bike|велосипед 
model|модель; образец 
impress|отпечатывать; производить впечатление; внушать 
gang|группа, бригада; банда
automatic|автоматический
haul|тянуть, волочить; буксировать; перевозить 
patrol|патруль; патрулировать 
lawn|газон, лужайка 
criminal|преступник; преступный; уголовный 
comfort|комфорт; утешение; утешать; успокаивать 
legal|законный; легальный
ladder|лестница (приставная); трап и др.
physical|физический 
rate|норма; расценка; скорость; разряд; класс; оценивать; считать
rumble|грохот; греметь
troop|группа людей, отряд
device|устройство; механизм; прибор; способ, средство 
bark|лай; лаять; рявкать
comfortable|удобный 
mayor|мэр 
hunt|охотиться, ловить 
joint|место соединения, стык; сустав; объединенный, общий 
provide|снабжать;
tumble|падение; упасть, свалиться; обрушиваться; валяться 
deeply|глубоко; сильно
snatch|хватать(ся); вырывать, выхватывать; набрасываться 
background|задний план; фон; происхождение; подготовка
appreciate|ценить; высоко ставить; понимать ценность 
possibility|возможность
whale|кит; разг. нечто выдающееся (по велич. или качеству) 
hunter|охотник 
unlock|отпирать
monkey|обезьяна 
fourth|четвертый 
receiver|получатель; (радио)приемник; телеф. трубка 
nerve|нерв; нервозность; разг. наглость, нахальство
hip|бедро 
pot|горшок; кастрюля; банка; консервировать 
launch|начинать; предпринимать; запускать; спускать (судно)
joy|радость, веселье 
authority|власть; ~s власти; авторитет 
unday|воскресенье 
shade|тень; оттенок; абажур; затемнять, заслонять 
gain|прибыль, выигрыш; ~s доходы; получать; приобретать
motel|мотель
string|веревка; струна; ряд
widen|расширять(ся) 
jaw|челюсть; ~s рот; пасть
briefcase|портфель 
choke|удушье; душить; задыхаться; поперхнуться; заглушать
meter|= metre (43:1) метр; счетчик, измеритель
hum|жужжание; гудение; жужжать; гудеть 
meat|мясо; устн. пища 
brick|кирпич; кирпичный
identify|отождествлять; опознавать 
recover|получать обратно; обретать снова; выздоравливать
bush|куст; кустарник 
drain|дренаж; водосток; перен. истощение; осущать; истощать
abandon|оставлять,
clothing|одежда; платье
fry|жарить 
protest|протестовать; протест 
bump|столкновение, удар; шишка; ударяться, налетать 
original|подлинник, оригинал; первоначальный; подлинный
professor|профессор 
museum|музей
connection|соединение
content|1) содержание; ~s содержимое; 2) удовлетворение; довольный; удовлетворять
lane|дорожка, тропинка; переулок; проход между рядами,
licence|бр. = license ам. (1:22) разрешение, лицензия; разрешать 
particularly|особенно
county|округ (амер.); графство (брит.) 
cigar|сигара 
candy|конфет(-а,-ы)
port|порт, гавань 
eyebrow|бровь 
rattle|треск, грохот; трещать, греметь 
shiver|дрожать, трястись
shriek|пронзительный крик; визжать, вопить 
beard|борода; борода и усы
assure|уверять, заверять
stock|запас; снабжать 
coast|морской берег; побережье; плавать вдоль побережья 
hatch|крышка люка; сленг пасть; замышлять, готовить (тайно)
disgust|отвращение; вызывать отвращение, возмущение 
valley|долина  
lick|лизать, облизывать; слегка касаться; разг. бить, колотить 
rack|1) вешалка; полка; подставка; класть на полку; 2) дыба; перен. пытка; пытать, мучить и др.
broad|широкий; свободный; явный;широко; свободно; вполне
lack|отсутствие; недостаток; недоставать 
patch|заплата; клочок; пятно; латать; покрываться пятнами 
opinion|мнение, взгляд
growl|рычать; ворчать, огрызаться
suite|апартаменты, номер-люкс
pray|молить(ся); умолять
ugly|уродливый, безобразный
secure|спокойный, уверенный; безопасный; охранять; закреплять
increase|возрастать, увеличивать(ся), усиливать(ся) 
jury|присяжные; жюри
